fct;I;A;H;W
Knee extension isokinetic;81.8;-1.44;41;1.25
Knee flexion isokinetic;-90.8;-0.49;80;0.82
Knee extension isometric;-107.9;-1.4;158;1.75
Ankle extension isokinetic;-13.4;-0.07;23;0.1
Ankle flexion isokinetic;97.7;-0.72;4;0.52
Ankle extension Isometric;-88.9;-0.04;68;0.16
Hip extension isokinetic ;-49.8;-0.97;103;1.14
Hip flexion isokinetic;-79.9;-0.75;107;0.79
Hip flexion isometric;37.6;-0.72;36;1.12
Shoulder abduction isokinetic;-47.7;-0.16;42;0.51
Shoulder adduction isokinetic;-72.9;-0.06;72;0.38
Shoulder abduction isometric;-30.8;-0.24;36;0.49
Elbow extension isokinetic;-4.4;-0.07;12;0.42
Elbow flexion isokinetic;-37.2;-0.18;36;0.41
Elbow flexion isometric;-23.8;-0.13;22;0.51
Wrist extension isokinetic;-11.1;-0.02;12;0.03
Wrist flexion isokinetic;1.7;-0.07;4;0.21
Wrist flexion isometric;-6.9;-0.07;10;0.21
